MAX_TRADE,PERIOD_WARMUP,PERIOD_MA_1,PERIOD_MA_2,PERIOD_RSI,PERIOD_MOM,N_MINUS_MAX,N_POSITION_MIN,LOSSCUT_1,DD_RATIO_MAX,DD_THRESHOLD
200,300,30,300,300,300,600,300,-50,0.25,10
200,300,60,300,300,300,600,300,-50,0.25,10
200,300,90,300,300,300,600,300,-50,0.25,10
200,300,30,600,300,300,600,300,-50,0.25,10
200,300,60,600,300,300,600,300,-50,0.25,10
200,300,90,600,300,300,600,300,-50,0.25,10
200,300,30,900,300,300,600,300,-50,0.25,10
200,300,60,900,300,300,600,300,-50,0.25,10
200,300,90,900,300,300,600,300,-50,0.25,10
200,300,30,300,300,300,600,300,-50,0.50,10
200,300,60,300,300,300,600,300,-50,0.50,10
200,300,90,300,300,300,600,300,-50,0.50,10
200,300,30,600,300,300,600,300,-50,0.50,10
200,300,60,600,300,300,600,300,-50,0.50,10
200,300,90,600,300,300,600,300,-50,0.50,10
200,300,30,900,300,300,600,300,-50,0.50,10
200,300,60,900,300,300,600,300,-50,0.50,10
200,300,90,900,300,300,600,300,-50,0.50,10
200,300,30,300,300,300,600,300,-50,0.75,10
200,300,60,300,300,300,600,300,-50,0.75,10
200,300,90,300,300,300,600,300,-50,0.75,10
200,300,30,600,300,300,600,300,-50,0.75,10
200,300,60,600,300,300,600,300,-50,0.75,10
200,300,90,600,300,300,600,300,-50,0.75,10
200,300,30,900,300,300,600,300,-50,0.75,10
200,300,60,900,300,300,600,300,-50,0.75,10
200,300,90,900,300,300,600,300,-50,0.75,10
200,300,30,300,300,300,600,300,-50,0.25,20
200,300,60,300,300,300,600,300,-50,0.25,20
200,300,90,300,300,300,600,300,-50,0.25,20
200,300,30,600,300,300,600,300,-50,0.25,20
200,300,60,600,300,300,600,300,-50,0.25,20
200,300,90,600,300,300,600,300,-50,0.25,20
200,300,30,900,300,300,600,300,-50,0.25,20
200,300,60,900,300,300,600,300,-50,0.25,20
200,300,90,900,300,300,600,300,-50,0.25,20
200,300,30,300,300,300,600,300,-50,0.50,20
200,300,60,300,300,300,600,300,-50,0.50,20
200,300,90,300,300,300,600,300,-50,0.50,20
200,300,30,600,300,300,600,300,-50,0.50,20
200,300,60,600,300,300,600,300,-50,0.50,20
200,300,90,600,300,300,600,300,-50,0.50,20
200,300,30,900,300,300,600,300,-50,0.50,20
200,300,60,900,300,300,600,300,-50,0.50,20
200,300,90,900,300,300,600,300,-50,0.50,20
200,300,30,300,300,300,600,300,-50,0.75,20
200,300,60,300,300,300,600,300,-50,0.75,20
200,300,90,300,300,300,600,300,-50,0.75,20
200,300,30,600,300,300,600,300,-50,0.75,20
200,300,60,600,300,300,600,300,-50,0.75,20
200,300,90,600,300,300,600,300,-50,0.75,20
200,300,30,900,300,300,600,300,-50,0.75,20
200,300,60,900,300,300,600,300,-50,0.75,20
200,300,90,900,300,300,600,300,-50,0.75,20
200,300,30,300,300,300,600,300,-50,0.25,30
200,300,60,300,300,300,600,300,-50,0.25,30
200,300,90,300,300,300,600,300,-50,0.25,30
200,300,30,600,300,300,600,300,-50,0.25,30
200,300,60,600,300,300,600,300,-50,0.25,30
200,300,90,600,300,300,600,300,-50,0.25,30
200,300,30,900,300,300,600,300,-50,0.25,30
200,300,60,900,300,300,600,300,-50,0.25,30
200,300,90,900,300,300,600,300,-50,0.25,30
200,300,30,300,300,300,600,300,-50,0.50,30
200,300,60,300,300,300,600,300,-50,0.50,30
200,300,90,300,300,300,600,300,-50,0.50,30
200,300,30,600,300,300,600,300,-50,0.50,30
200,300,60,600,300,300,600,300,-50,0.50,30
200,300,90,600,300,300,600,300,-50,0.50,30
200,300,30,900,300,300,600,300,-50,0.50,30
200,300,60,900,300,300,600,300,-50,0.50,30
200,300,90,900,300,300,600,300,-50,0.50,30
200,300,30,300,300,300,600,300,-50,0.75,30
200,300,60,300,300,300,600,300,-50,0.75,30
200,300,90,300,300,300,600,300,-50,0.75,30
200,300,30,600,300,300,600,300,-50,0.75,30
200,300,60,600,300,300,600,300,-50,0.75,30
200,300,90,600,300,300,600,300,-50,0.75,30
200,300,30,900,300,300,600,300,-50,0.75,30
200,300,60,900,300,300,600,300,-50,0.75,30
200,300,90,900,300,300,600,300,-50,0.75,30
